sets,artist,venue,month,day,year,tour,festival,song_num,num,album,city,date,city_day,num_show,city_num,choice_name
Mary Boone,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,VW Show,20,41,Only God Was Above Us,Montclair,2025-09-18,Montclair 18,84,Montclair 4,Montclair 4: 2025-09-18
Hannah Hunt,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,VW Show,21,29,Modern Vampires of the City,Montclair,2025-09-18,Montclair 18,84,Montclair 4,Montclair 4: 2025-09-18
Harmony Hall,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,VW Show,22,55,Father of the Bride,Montclair,2025-09-18,Montclair 18,84,Montclair 4,Montclair 4: 2025-09-18
Worship You,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,VW Show,23,32,Modern Vampires of the City,Montclair,2025-09-18,Montclair 18,84,Montclair 4,Montclair 4: 2025-09-18
Ya Hey,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,VW Show,24,33,Modern Vampires of the City,Montclair,2025-09-18,Montclair 18,84,Montclair 4,Montclair 4: 2025-09-18
Walcott,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,VW Show,34,10,Vampire Weekend,Montclair,2025-09-18,Montclair 18,84,Montclair 4,Montclair 4: 2025-09-18
M79,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,VW Show,1,5,Vampire Weekend,Montclair,2025-09-17,Montclair 17,83,Montclair 3,Montclair 3: 2025-09-17
Campus,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,VW Show,2,6,Vampire Weekend,Montclair,2025-09-17,Montclair 17,83,Montclair 3,Montclair 3: 2025-09-17
I Stand Corrected,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,VW Show,3,9,Vampire Weekend,Montclair,2025-09-17,Montclair 17,83,Montclair 3,Montclair 3: 2025-09-17
Ice Cream Piano,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,VW Show,4,40,Only God Was Above Us,Montclair,2025-09-17,Montclair 17,83,Montclair 3,Montclair 3: 2025-09-17
Classical,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,VW Show,5,37,Only God Was Above Us,Montclair,2025-09-17,Montclair 17,83,Montclair 3,Montclair 3: 2025-09-17
Connect,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,VW Show,6,38,Only God Was Above Us,Montclair,2025-09-17,Montclair 17,83,Montclair 3,Montclair 3: 2025-09-17
White Sky,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,VW Show,7,14,Contra,Montclair,2025-09-17,Montclair 17,83,Montclair 3,Montclair 3: 2025-09-17
Step,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,VW Show,8,26,Modern Vampires of the City,Montclair,2025-09-17,Montclair 17,83,Montclair 3,Montclair 3: 2025-09-17
This Life,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,VW Show,9,57,Father of the Bride,Montclair,2025-09-17,Montclair 17,83,Montclair 3,Montclair 3: 2025-09-17
Sympathy,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,VW Show,10,64,Father of the Bride,Montclair,2025-09-17,Montclair 17,83,Montclair 3,Montclair 3: 2025-09-17
New Dorp. New York,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,VW Show,11,53,Other,Montclair,2025-09-17,Montclair 17,83,Montclair 3,Montclair 3: 2025-09-17
California English,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,VW Show,12,16,Contra,Montclair,2025-09-17,Montclair 17,83,Montclair 3,Montclair 3: 2025-09-17
Capricorn,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,VW Show,14,36,Only God Was Above Us,Montclair,2025-09-17,Montclair 17,83,Montclair 3,Montclair 3: 2025-09-17
Diane Young,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,VW Show,15,27,Modern Vampires of the City,Montclair,2025-09-17,Montclair 17,83,Montclair 3,Montclair 3: 2025-09-17
Cousins,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,VW Show,16,19,Contra,Montclair,2025-09-17,Montclair 17,83,Montclair 3,Montclair 3: 2025-09-17
A-Punk,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,VW Show,17,3,Vampire Weekend,Montclair,2025-09-17,Montclair 17,83,Montclair 3,Montclair 3: 2025-09-17
Horchata,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,VW Show,18,13,Contra,Montclair,2025-09-17,Montclair 17,83,Montclair 3,Montclair 3: 2025-09-17
Mary Boone,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,VW Show,19,41,Only God Was Above Us,Montclair,2025-09-17,Montclair 17,83,Montclair 3,Montclair 3: 2025-09-17
Harmony Hall,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,VW Show,20,55,Father of the Bride,Montclair,2025-09-17,Montclair 17,83,Montclair 3,Montclair 3: 2025-09-17
"Jerusalem, New York, Berlin",Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,VW Show,21,71,Father of the Bride,Montclair,2025-09-17,Montclair 17,83,Montclair 3,Montclair 3: 2025-09-17
Walcott,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,17,2025,Only God Was Above Us,VW Show,28,10,Vampire Weekend,Montclair,2025-09-17,Montclair 17,83,Montclair 3,Montclair 3: 2025-09-17
Diane Young,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,16,2025,Only God Was Above Us,VW Show,1,27,Modern Vampires of the City,Montclair,2025-09-16,Montclair 16,82,Montclair 2,Montclair 2: 2025-09-16
Holiday,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,16,2025,Only God Was Above Us,VW Show,2,15,Contra,Montclair,2025-09-16,Montclair 16,82,Montclair 2,Montclair 2: 2025-09-16
