sets,artist,venue,month,day,year,tour,song_num,album,city
Cape Cod Kwassa Kwassa,Vampire Weekend,"The OVO Hydro, Glasgow, Scotland",Dec,8,2024,Only God Was Above Us,1,Vampire Weekend,Glasgow
Holiday,Vampire Weekend,"The OVO Hydro, Glasgow, Scotland",Dec,8,2024,Only God Was Above Us,2,Contra,Glasgow
One (Blake's Got a New Face),Vampire Weekend,"The OVO Hydro, Glasgow, Scotland",Dec,8,2024,Only God Was Above Us,3,Vampire Weekend,Glasgow
Ice Cream Piano,Vampire Weekend,"The OVO Hydro, Glasgow, Scotland",Dec,8,2024,Only God Was Above Us,4,Only God Was Above Us,Glasgow
Classical,Vampire Weekend,"The OVO Hydro, Glasgow, Scotland",Dec,8,2024,Only God Was Above Us,5,Only God Was Above Us,Glasgow
Connect,Vampire Weekend,"The OVO Hydro, Glasgow, Scotland",Dec,8,2024,Only God Was Above Us,6,Only God Was Above Us,Glasgow
Unbelievers,Vampire Weekend,"The OVO Hydro, Glasgow, Scotland",Dec,8,2024,Only God Was Above Us,7,Modern Vampires of the City,Glasgow
Step,Vampire Weekend,"The OVO Hydro, Glasgow, Scotland",Dec,8,2024,Only God Was Above Us,8,Modern Vampires of the City,Glasgow
This Life,Vampire Weekend,"The OVO Hydro, Glasgow, Scotland",Dec,8,2024,Only God Was Above Us,9,Father of the Bride,Glasgow
Sympathy,Vampire Weekend,"The OVO Hydro, Glasgow, Scotland",Dec,8,2024,Only God Was Above Us,10,Father of the Bride,Glasgow
New Dorp. New York,Vampire Weekend,"The OVO Hydro, Glasgow, Scotland",Dec,8,2024,Only God Was Above Us,11,Other,Glasgow
The Surfer,Vampire Weekend,"The OVO Hydro, Glasgow, Scotland",Dec,8,2024,Only God Was Above Us,12,Only God Was Above Us,Glasgow
Worship You,Vampire Weekend,"The OVO Hydro, Glasgow, Scotland",Dec,8,2024,Only God Was Above Us,13,Modern Vampires of the City,Glasgow
Oxford Comma,Vampire Weekend,"The OVO Hydro, Glasgow, Scotland",Dec,8,2024,Only God Was Above Us,14,Vampire Weekend,Glasgow
Capricorn,Vampire Weekend,"The OVO Hydro, Glasgow, Scotland",Dec,8,2024,Only God Was Above Us,15,Only God Was Above Us,Glasgow
Gen-X Cops,Vampire Weekend,"The OVO Hydro, Glasgow, Scotland",Dec,8,2024,Only God Was Above Us,16,Only God Was Above Us,Glasgow
Diane Young,Vampire Weekend,"The OVO Hydro, Glasgow, Scotland",Dec,8,2024,Only God Was Above Us,17,Modern Vampires of the City,Glasgow
Cousins,Vampire Weekend,"The OVO Hydro, Glasgow, Scotland",Dec,8,2024,Only God Was Above Us,18,Contra,Glasgow
A-Punk,Vampire Weekend,"The OVO Hydro, Glasgow, Scotland",Dec,8,2024,Only God Was Above Us,19,Vampire Weekend,Glasgow
Prep-School Gangsters,Vampire Weekend,"The OVO Hydro, Glasgow, Scotland",Dec,8,2024,Only God Was Above Us,20,Only God Was Above Us,Glasgow
Mary Boone,Vampire Weekend,"The OVO Hydro, Glasgow, Scotland",Dec,8,2024,Only God Was Above Us,21,Only God Was Above Us,Glasgow
Harmony Hall,Vampire Weekend,"The OVO Hydro, Glasgow, Scotland",Dec,8,2024,Only God Was Above Us,22,Father of the Bride,Glasgow
