sets,artist,venue,month,day,year,tour,festival,song_num,num,album,city
Diane Young,Vampire Weekend,"Knox Farm State Park, East Aurora, NY, USA",Sep,13,2025,Only God Was Above Us,1,14,27,Modern Vampires of the City,East Aurora
Cousins,Vampire Weekend,"Knox Farm State Park, East Aurora, NY, USA",Sep,13,2025,Only God Was Above Us,1,15,19,Contra,East Aurora
A-Punk,Vampire Weekend,"Knox Farm State Park, East Aurora, NY, USA",Sep,13,2025,Only God Was Above Us,1,16,3,Vampire Weekend,East Aurora
Oxford Comma,Vampire Weekend,"Knox Farm State Park, East Aurora, NY, USA",Sep,13,2025,Only God Was Above Us,1,17,2,Vampire Weekend,East Aurora
Mary Boone,Vampire Weekend,"Knox Farm State Park, East Aurora, NY, USA",Sep,13,2025,Only God Was Above Us,1,18,41,Only God Was Above Us,East Aurora
Harmony Hall,Vampire Weekend,"Knox Farm State Park, East Aurora, NY, USA",Sep,13,2025,Only God Was Above Us,1,19,55,Father of the Bride,East Aurora
Walcott,Vampire Weekend,"Knox Farm State Park, East Aurora, NY, USA",Sep,13,2025,Only God Was Above Us,1,20,10,Vampire Weekend,East Aurora
Mansard Roof,Vampire Weekend,"Southsea Common, Portsmouth, England",Aug,23,2025,Only God Was Above Us,1,1,1,Vampire Weekend,Portsmouth
Holiday,Vampire Weekend,"Southsea Common, Portsmouth, England",Aug,23,2025,Only God Was Above Us,1,2,15,Contra,Portsmouth
Ice Cream Piano,Vampire Weekend,"Southsea Common, Portsmouth, England",Aug,23,2025,Only God Was Above Us,1,3,40,Only God Was Above Us,Portsmouth
Classical,Vampire Weekend,"Southsea Common, Portsmouth, England",Aug,23,2025,Only God Was Above Us,1,4,37,Only God Was Above Us,Portsmouth
Connect,Vampire Weekend,"Southsea Common, Portsmouth, England",Aug,23,2025,Only God Was Above Us,1,5,38,Only God Was Above Us,Portsmouth
White Sky,Vampire Weekend,"Southsea Common, Portsmouth, England",Aug,23,2025,Only God Was Above Us,1,6,14,Contra,Portsmouth
Step,Vampire Weekend,"Southsea Common, Portsmouth, England",Aug,23,2025,Only God Was Above Us,1,7,26,Modern Vampires of the City,Portsmouth
This Life,Vampire Weekend,"Southsea Common, Portsmouth, England",Aug,23,2025,Only God Was Above Us,1,8,57,Father of the Bride,Portsmouth
Sympathy,Vampire Weekend,"Southsea Common, Portsmouth, England",Aug,23,2025,Only God Was Above Us,1,9,64,Father of the Bride,Portsmouth
New Dorp. New York,Vampire Weekend,"Southsea Common, Portsmouth, England",Aug,23,2025,Only God Was Above Us,1,10,53,Other,Portsmouth
Bambina,Vampire Weekend,"Southsea Common, Portsmouth, England",Aug,23,2025,Only God Was Above Us,1,11,56,Father of the Bride,Portsmouth
Capricorn,Vampire Weekend,"Southsea Common, Portsmouth, England",Aug,23,2025,Only God Was Above Us,1,12,36,Only God Was Above Us,Portsmouth
Gen-X Cops,Vampire Weekend,"Southsea Common, Portsmouth, England",Aug,23,2025,Only God Was Above Us,1,13,39,Only God Was Above Us,Portsmouth
